SessionID,Round,TimeStamp,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW,VelocityX,VelocityY,VelocityZ,
8037508,0,7.014446,395.5316,0.04964235,394.9808,-0.001768293,0.753974,0.001208477,0.6569008,-0.001768293,0.753974,0.001208477,
8037508,0,7.115211,397.8962,0.04956647,394.4874,-0.001783801,0.7831585,0.001270562,0.6218184,-0.001783801,0.7831585,0.001270562,
8037508,0,7.216036,400.2209,0.04949001,393.7437,-0.001682647,0.820726,0.001367599,0.571318,-0.001682647,0.820726,0.001367599,
8037508,0,7.317335,402.4856,0.04934492,392.7378,-0.001338156,0.8557627,0.00156372,0.5173645,-0.001338156,0.8557627,0.00156372,
8037508,0,7.41865,404.6884,0.04917369,391.5153,-0.001161829,0.8810474,0.00165832,0.4730237,-0.001161829,0.8810474,0.00165832,
8037508,0,7.519419,406.795,0.04903885,390.0722,-0.001507865,0.9038982,0.001512013,0.4277424,-0.001507865,0.9038982,0.001512013,
8037508,0,7.620188,408.7752,0.04893612,388.407,-0.001256845,0.924324,0.001658358,0.3816031,-0.001256845,0.924324,0.001658358,
8037508,0,7.720862,410.6531,0.04880154,386.5702,-0.0009037936,0.9378301,0.001803137,0.3470888,-0.0009037936,0.9378301,0.001803137,
8037508,0,7.805674,412.4813,0.04865229,384.6312,-0.0006107068,0.9426867,0.001911283,0.3336732,-0.0006107068,0.9426867,0.001911283,
8037508,0,7.907432,414.3507,0.04854175,382.6879,-0.0004398176,0.9370403,0.001999706,0.3492155,-0.0004398176,0.9370403,0.001999706,
8037508,0,8.008068,416.3115,0.04842305,380.7838,-0.0007958612,0.9260257,0.001821943,0.3774554,-0.0007958612,0.9260257,0.001821943,
8037508,0,8.109349,418.3391,0.04826029,378.8933,-0.001182653,0.9184644,0.001636595,0.3954986,-0.001182653,0.9184644,0.001636595,
8037508,0,8.210308,420.3662,0.04813931,376.9555,-0.001278608,0.9202965,0.001627825,0.391216,-0.001278608,0.9202965,0.001627825,
8037508,0,8.310668,422.3277,0.04804946,374.9074,-0.001119746,0.9308979,0.001694001,0.3652738,-0.001119746,0.9308979,0.001694001,
8037508,0,8.410731,424.2101,0.04788645,372.7282,-0.000694596,0.9427241,0.00180272,0.3335678,-0.000694596,0.9427241,0.00180272,
8037508,0,8.512436,426.0269,0.04768265,370.4309,-0.0006234875,0.9519032,0.001792103,0.306393,-0.0006234875,0.9519032,0.001792103,
8037508,0,8.614075,427.7758,0.0474994,368.022,-0.0007200374,0.9590018,0.00177031,0.2833934,-0.0007200374,0.9590018,0.00177031,
8037508,0,8.714539,429.4557,0.0473712,365.5174,-0.0007350962,0.9640799,0.001807943,0.2656054,-0.0007350962,0.9640799,0.001807943,
8037508,0,8.816665,431.0754,0.04726006,362.9315,-0.0007052163,0.9676335,0.001822472,0.2523521,-0.0007052163,0.9676335,0.001822472,
8037508,0,8.917669,432.6272,0.04713247,360.2661,-0.0008879377,0.9714645,0.001777224,0.2371768,-0.0008879377,0.9714645,0.001777224,
8037508,0,9.019494,434.0361,0.04704159,357.4966,-0.001106413,0.9784945,0.001777552,0.2062625,-0.001106413,0.9784945,0.001777552,
8037508,0,9.121165,435.219,0.04700415,354.6075,-0.001048812,0.9873708,0.001858242,0.1584124,-0.001048812,0.9873708,0.001858242,
8037508,0,9.205427,436.0958,0.0469765,351.5997,-0.0009762145,0.9953675,0.001914084,0.09611954,-0.0009762145,0.9953675,0.001914084,
8037508,0,9.306431,436.617,0.04689515,348.4884,-0.0007194365,0.9996051,0.001923911,0.02802538,-0.0007194365,0.9996051,0.001923911,
8037508,0,9.407651,436.8204,0.04676329,345.3087,-0.0002681173,0.9996327,0.001928091,-0.02703392,-0.0002681173,0.9996327,0.001928091,
8037508,0,9.50845,436.8218,0.04664855,342.0912,3.392459E-05,0.9985384,0.001931809,-0.05401105,3.392459E-05,0.9985384,0.001931809,
8037508,0,9.609267,436.7076,0.04654672,338.8461,-0.0003136305,0.9979902,0.001931421,-0.06333788,-0.0003136305,0.9979902,0.001931421,
8037508,0,9.710324,436.4897,0.04643374,335.5771,-0.0003812193,0.9975479,0.001927614,-0.06995961,-0.0003812193,0.9975479,0.001927614,
8037508,0,9.811429,436.1887,0.04632685,332.2841,-0.0001904109,0.9971895,0.0019181,-0.07489649,-0.0001904109,0.9971895,0.0019181,
8037508,0,9.913401,435.8556,0.04621759,328.9629,0.0001904319,0.9975175,0.001894705,-0.07039519,0.0001904319,0.9975175,0.001894705,
